date,username,text,clean_text,sentiment,sentiment_score,score_negative,score_neutral,score_positive,sarcasm_detected,sarcasm_type,corrected_sentiment
2026-03-16 05:55:10,equilazer_,@CommonBS786OM Sorry all fixed already that's one of the reasons why modi is Compromised.,Sorry all fixed already that's one of the reasons why modi is Compromised.,Negative,0.5522,0.5522,0.4098,0.038,False,none,Negative
2026-03-16 05:55:09,kshantaram2,"@mrjethwani_ BJP SECRET ELECTORAL FUNDS, SECRET PM CARE FUND, 40% COMMISSIONS, BANGARU LAXMAN, RAFAELCHORI, VOTECHORI, SINDOORCHORI, LAKHIMPURGIRI, JANDHAN DEPOSITS BEFORE ELECTIONS, PM BY EVM RECOUNTING,","BJP SECRET ELECTORAL FUNDS, SECRET PM CARE FUND, 40% COMMISSIONS, BANGARU LAXMAN, RAFAELCHORI, VOTECHORI, SINDOORCHORI, LAKHIMPURGIRI, JANDHAN DEPOSITS BEFORE ELECTIONS, PM BY EVM RECOUNTING,",Neutral,0.8184,0.0648,0.8184,0.1168,True,indian_vocab,Negative
2026-03-16 05:55:09,InGoa24x7,"""Whichever candidate will be named by BJP for the Ponda by-polls, MGP will support"": Min @SudinDhavalikar

#Goa #GoaNews #MGP #BJP #PondaByPolls https://t.co/sMiGmtW7Ui","""Whichever candidate will be named by BJP for the Ponda by-polls, MGP will support"": Min Goa GoaNews MGP BJP PondaByPolls",Neutral,0.7236,0.0054,0.7236,0.271,False,none,Neutral
2026-03-16 05:55:05,ANI,"#WATCH | Bengaluru: Karnataka Minister Priyank Kharge says, ""...It looks like the election commission looks for advice from the BJP to call the shots. So it is very clear that the way the election is structured is for the election preparedness of the BJP. In the last week or 10 days, the prime minister has been busy going around Tamil Nadu, Assam, and other places where there are elections. But he is least bothered about the current LPG crisis or the crisis that is prevalent in the country. He has turned a blind eye... His only job is to ensure that he speaks at election rallies. I don't think the Prime Minister knows his responsibilities towards his people.""","WATCH | Bengaluru: Karnataka Minister Priyank Kharge says, ""...It looks like the election commission looks for advice from the BJP to call the shots. So it is very clear that the way the election is structured is for the election preparedness of the BJP. In the last week or 10 days, the prime minister has been busy going around Tamil Nadu, Assam, and other places where there are elections. But he is least bothered about the current LPG crisis or the crisis that is prevalent in the country. He has turned a blind eye... His only job is to ensure that he speaks at election rallies. I don't think the Prime Minister knows his responsibilities towards his people.""",Neutral,0.8682,0.076,0.8682,0.0558,False,none,Neutral
2026-03-16 05:55:04,rajatkumarbhat1,@RealPushprajX how can BJP loose in bengal tamil nadu pudducherry and keralam when they are not even in power in those states but one thing is for sure that BJP will definitely increase it's voter percentage in these states,how can BJP loose in bengal tamil nadu pudducherry and keralam when they are not even in power in those states but one thing is for sure that BJP will definitely increase it's voter percentage in these states,Neutral,0.6344,0.3027,0.6344,0.0629,False,none,Neutral
2026-03-16 05:55:02,SunitaPand91083,"@tycraig898 @OmarAbbasHyat @RishiJoeSanu WTF did my, post had anything to do with modi? The original post wasn't about modi, I didn't tweet about modi yet you're abusing me by naming modi out of blue, you're looking like a fool right now","WTF did my, post had anything to do with modi? The original post wasn't about modi, I didn't tweet about modi yet you're abusing me by naming modi out of blue, you're looking like a fool right now",Negative,0.8318,0.8318,0.1589,0.0093,False,none,Negative
2026-03-16 05:54:57,realk7vv,"A prediction:  The mid-terms go heavy for D's.  R outgoing Congress refuses to seat new D's, citing 'voting issues'.  Congress cannot meet or act.  Tramp takes control of Congress using military.  Supreme Court objects and Tramp 'removes' them.  US becomes military dictatorship.","A prediction: The mid-terms go heavy for D's. R outgoing Congress refuses to seat new D's, citing 'voting issues'. Congress cannot meet or act. Tramp takes control of Congress using military. Supreme Court objects and Tramp 'removes' them. US becomes military dictatorship.",Negative,0.6529,0.6529,0.3359,0.0112,False,none,Negative
2026-03-16 05:54:57,liberalwoke_,"Hello @narendramodi , @RajivPratapRudy - Did you find root cause of Saran case ? Or, too worried to speak anything about the mindset of culprits involved ? #AllEyesOnSaran","Hello , - Did you find root cause of Saran case ? Or, too worried to speak anything about the mindset of culprits involved ? AllEyesOnSaran",Neutral,0.5529,0.4296,0.5529,0.0175,False,none,Neutral
2026-03-16 05:54:56,rarefiedreason,@BBCWorld Another BJP ruled state. Not a place in India they haven’t turned to dust,Another BJP ruled state. Not a place in India they haven’t turned to dust,Negative,0.832,0.832,0.1555,0.0125,False,none,Negative
2026-03-16 05:54:51,CryptoHarix0,"@mrjethwani_ Bjp hai cow kat rahe hai ,,, Bjp hai rape Hor ahe hai ,, BJP HAI corruption hai ,, Hindu rastra hai phir bhi khatra hai .   I don't know konsa hindu rastra they are expecting... 😂😂","Bjp hai cow kat rahe hai ,,, Bjp hai rape Hor ahe hai ,, BJP HAI corruption hai ,, Hindu rastra hai phir bhi khatra hai . I don't know konsa hindu rastra they are expecting... 😂😂",Negative,0.7436,0.7436,0.2433,0.0131,False,none,Negative
2026-03-16 05:54:46,SivababuVaggi,"""With a war raging and a humanitarian crisis unfolding, and while Parliament is in active session—is this truly the time to be campaigning for votes? Priorities matter."" - Prakash Raj About Modi Ji
#PrakashRaj #PMModi #AssamVisit #HumanitarianCrisis #Accountability https://t.co/ybWNmDgQAc","""With a war raging and a humanitarian crisis unfolding, and while Parliament is in active session—is this truly the time to be campaigning for votes? Priorities matter."" - Prakash Raj About Modi Ji PrakashRaj PMModi AssamVisit HumanitarianCrisis Accountability",Neutral,0.5678,0.4042,0.5678,0.028,False,none,Neutral
2026-03-16 05:54:43,Tsepokganakga,Modi is having troubles this morning. I wonder if it was worth it to abandon BRICS for Israeli. @MYANC @Radio702 @BRICSinfo,Modi is having troubles this morning. I wonder if it was worth it to abandon BRICS for Israeli.,Negative,0.8404,0.8404,0.1532,0.0065,False,none,Negative
2026-03-16 05:54:42,vizhpuneet,Face-off b/w PM Modi Vs. Sanjay Singh on Iran Israel War https://t.co/pqoRGLmBQn,Face-off b/w PM Modi Vs. Sanjay Singh on Iran Israel War,Neutral,0.9317,0.0192,0.9317,0.0492,False,none,Neutral
2026-03-16 05:54:40,HLovecharg77424,@arjunmodhwadia @BJP4Gujarat @narendramodi @AmitShah @Bhupendrapbjp @iJagdishBJP @sanghaviharsh @ratnakar273 @GujForestDept @CMOGuj Damn! When did he join BJP? He and Shaktsinh Gohil used to be the OG rivals of CM Modi back in those days.,Damn! When did he join BJP? He and Shaktsinh Gohil used to be the OG rivals of CM Modi back in those days.,Negative,0.4709,0.4709,0.4659,0.0632,False,none,Negative
2026-03-16 05:54:39,BethAldric58870,@GuntherEagleman Our founding fathers laid out the specifics of what is required to serve in Congress. How unpatriotic of you to think you know more.,Our founding fathers laid out the specifics of what is required to serve in Congress. How unpatriotic of you to think you know more.,Negative,0.5527,0.5527,0.4213,0.026,False,none,Negative
2026-03-16 05:54:39,JoySubh,"@shrisaxena @CommanMan777589 This numbers are crap..
If you want to play number game, ask BJP why didn’t they have not done census yet in this many years?

If reality comes out Hindus start to cry all over country, and start to find rathole.
And forget WB, it’s total gone case as that guy said in the video.","This numbers are crap.. If you want to play number game, ask BJP why didn’t they have not done census yet in this many years? If reality comes out Hindus start to cry all over country, and start to find rathole. And forget WB, it’s total gone case as that guy said in the video.",Negative,0.8477,0.8477,0.1441,0.0082,False,none,Negative
2026-03-16 05:54:37,LeadersKno40922,"@SupriyaShrinate There can’t be a better face of Hypocrisy than yours @SupriyaShrinate 
If something happens in favour of India the credit goes to people of India and if it’s against India, then it’s a failure of Govt.

Clearly shows why people of India decided to remove congress.","There can’t be a better face of Hypocrisy than yours If something happens in favour of India the credit goes to people of India and if it’s against India, then it’s a failure of Govt. Clearly shows why people of India decided to remove congress.",Negative,0.6555,0.6555,0.2949,0.0496,False,none,Negative
2026-03-16 05:54:37,kkg92,"@aroorprashanth @TVMohandasPai We are just happy with maintaining hindutva during elections.. Rest 4 years is just chill.
Irony is states without BJP govt do a lot to develop their coastal region.
For us Single engine, double engine or no engine is same.","We are just happy with maintaining hindutva during elections.. Rest 4 years is just chill. Irony is states without BJP govt do a lot to develop their coastal region. For us Single engine, double engine or no engine is same.",Neutral,0.5868,0.122,0.5868,0.2912,False,none,Neutral
2026-03-16 05:54:37,vmohan388,"Modi will remove panic that will solve the issue, he is busy in election campaign come tomorrow 
https://t.co/dVQY0SCmX4","Modi will remove panic that will solve the issue, he is busy in election campaign come tomorrow",Positive,0.4913,0.0379,0.4709,0.4913,False,none,Positive
2026-03-16 05:54:35,ammar_sayss,@protagonist_xig “India is motherland. Israel is Fatherland” —Modi Feb 2026. https://t.co/fIUzPwkd5M,“India is motherland. Israel is Fatherland” —Modi Feb 2026.,Neutral,0.896,0.0275,0.896,0.0765,False,none,Neutral
2026-03-16 05:54:34,AhmadJalal_1,@amirhusain_tx France must have a very effective and well connected (to Modi) agent in India.,France must have a very effective and well connected (to Modi) agent in India.,Neutral,0.6324,0.0363,0.6324,0.3312,False,none,Neutral
2026-03-16 05:54:30,awareness_money,@rishibagree With this same tongue he will praise him. if he has allied with BJP.,With this same tongue he will praise him. if he has allied with BJP.,Neutral,0.7774,0.1336,0.7774,0.089,False,none,Neutral
2026-03-16 05:54:29,FascistHunt007,"@IMinakshiJoshi We know why Modi put you in that role, It was never for the Nation we knew it. https://t.co/6LKHA6AzN6","We know why Modi put you in that role, It was never for the Nation we knew it.",Negative,0.7654,0.7654,0.2222,0.0124,False,none,Negative
2026-03-16 05:54:27,Ramykrish,"@SMedia4 @prabhuk08 @VSivasithan @khushsundar @Tsubramaniyan14 @BJP4TamilNadu @BJP4India @AmitShah @narendramodi @NainarBJP @annamalai_k @VanathiBJP @deltatamilian @DrTamilisai4BJP For that she will answer to a Bjp voter like that, crap😡😡😡😡","For that she will answer to a Bjp voter like that, crap😡😡😡😡",Negative,0.9279,0.9279,0.066,0.0061,False,none,Negative
2026-03-16 05:54:24,ians_india,"Guwahati, Assam: On politicising the death of late Assamese musician Zubeen Garg, Chief Minister Himanta Biswa Sarma says, ""People will punish Congress for that. You will see Congress will lose at least four or five seats for bringing Zubeen name into politics"" https://t.co/BUWfKN0zdZ","Guwahati, Assam: On politicising the death of late Assamese musician Zubeen Garg, Chief Minister Himanta Biswa Sarma says, ""People will punish Congress for that. You will see Congress will lose at least four or five seats for bringing Zubeen name into politics""",Negative,0.6704,0.6704,0.3194,0.0101,False,none,Negative
2026-03-16 05:54:23,InGoa24x7,"MGP will support BJP candidate in Ponda By-polls 

#Goa #Goanews #BJP #MGP #Candidate #PondaByPolls https://t.co/2SiO3Z04yF",MGP will support BJP candidate in Ponda By-polls Goa Goanews BJP MGP Candidate PondaByPolls,Positive,0.5164,0.0038,0.4798,0.5164,False,none,Positive
2026-03-16 05:54:17,bhumi_mithra,My fav so far was Daal Gadot 🤣🤣🤣,My fav so far was Daal Gadot 🤣🤣🤣,Positive,0.9221,0.0072,0.0707,0.9221,False,none,Positive
2026-03-16 05:54:16,babuset,@RahulGandhi @priyankac19 @priyankac19  Congress &amp; Vegetarian Anda party for you too.,Congress & Vegetarian Anda party for you too.,Neutral,0.8307,0.0202,0.8307,0.1491,False,none,Neutral
2026-03-16 05:54:14,VishwanathMahe9,#Health #Wellness #HealthyLiving #Fitness #Nutrition #MentalHealth #SelfCare #HealthyLifestyle #EatWell #FitFam #HealthTips #HealthEducation #LifestyleChange # wellbeing #PreventiveHealth #HealthyChoices #Mindfulness #HealthAndFitness #ActiveLifestyle https://t.co/zo3JwNEGFJ,Health Wellness HealthyLiving Fitness Nutrition MentalHealth SelfCare HealthyLifestyle EatWell FitFam HealthTips HealthEducation LifestyleChange # wellbeing PreventiveHealth HealthyChoices Mindfulness HealthAndFitness ActiveLifestyle,Neutral,0.7178,0.0193,0.7178,0.2628,False,none,Neutral
2026-03-16 05:54:10,Dinakar_Hdp,"100 Achievements / Major Initiatives of the Modi Government (2014–Present)

Thread.",100 Achievements / Major Initiatives of the Modi Government (2014–Present) Thread.,Neutral,0.5912,0.0064,0.5912,0.4024,False,none,Neutral
2026-03-16 05:54:09,RisingEndea,"@firstHat @fire_starter457 @BasedMikeLee In fact, you can see the full bill here. It's very ambiguous. https://t.co/RVUXTwqetf","In fact, you can see the full bill here. It's very ambiguous.",Neutral,0.5705,0.4109,0.5705,0.0185,False,none,Neutral
2026-03-16 05:54:09,A_O_A_V,"@libsoftiktok Our government from lawyers to judges, city council to Congress are ALL pedophiles. The amount of demonic pedos there are in this nation is staggering. Time for We The People to start dropping these people off the earth, quietly and efficiently.","Our government from lawyers to judges, city council to Congress are ALL pedophiles. The amount of demonic pedos there are in this nation is staggering. Time for We The People to start dropping these people off the earth, quietly and efficiently.",Negative,0.9358,0.9358,0.0569,0.0074,False,none,Negative
2026-03-16 05:54:07,STAR19113730869,"@Nargis_Bano78 This appears to be nothing more than a stunt to attract attention and portray himself as anti-Muslim. In India, especially under BJP, you often see such jokers seeking publicity this way. In reality, it makes no difference to Muslims whether he knows or not. Just Ignore him.","This appears to be nothing more than a stunt to attract attention and portray himself as anti-Muslim. In India, especially under BJP, you often see such jokers seeking publicity this way. In reality, it makes no difference to Muslims whether he knows or not. Just Ignore him.",Negative,0.8245,0.8245,0.1667,0.0087,False,none,Negative
2026-03-16 05:54:03,dusmanta9,"@MishraKedar1 In BJP ruled in state, Administration system has totally  failed @amitmalviya @narendramodi @AshwiniVaishnaw","In BJP ruled in state, Administration system has totally failed",Negative,0.8409,0.8409,0.1442,0.0149,False,none,Negative
2026-03-16 05:54:00,iam_754,@weirdiedis01 @BimarshaDhimal The problem with RSP is there is no ideology in the party. It was created just to oppose the old parties just like Aam Aadmi Party did in Delhi. You need strong ideology in a party for its members/leaders to stay together for long time just like BJP in India.,The problem with RSP is there is no ideology in the party. It was created just to oppose the old parties just like Aam Aadmi Party did in Delhi. You need strong ideology in a party for its members/leaders to stay together for long time just like BJP in India.,Negative,0.7012,0.7012,0.2822,0.0165,False,none,Negative
2026-03-16 05:53:59,KishoreRao10,@NAN_DINI_ @TVMohandasPai You are so very right! This mentality is widely prevalent even in today's Bharat. One common manifestation of this is to belittle everything that Modi ji and the government are doing to make life better for the masses and increase the nation’s global prestige!,You are so very right! This mentality is widely prevalent even in today's Bharat. One common manifestation of this is to belittle everything that Modi ji and the government are doing to make life better for the masses and increase the nation’s global prestige!,Negative,0.5991,0.5991,0.3038,0.0972,False,none,Negative
2026-03-16 05:53:58,franccruzer,Oh..just.like BJP Assam released 9000 rupees at 7am..huh..,Oh..just.like BJP Assam released 9000 rupees at 7am..huh..,Neutral,0.7566,0.1703,0.7566,0.0731,False,none,Neutral
2026-03-16 05:53:57,KAkilan17,"@CricketLover3u Ok… I thought BJP will decimated to 0 seats just like 2021 elections and what about the INC ? How much is INC winning ,Any idea?
IANS–Matrize Kerala Opinion Poll
Predicts edge for LDF ,is this true and I these are biased predictions.
https://t.co/UryxYIOo0b","Ok… I thought BJP will decimated to 0 seats just like 2021 elections and what about the INC ? How much is INC winning ,Any idea? IANS–Matrize Kerala Opinion Poll Predicts edge for LDF ,is this true and I these are biased predictions.",Negative,0.5148,0.5148,0.463,0.0221,False,none,Negative
2026-03-16 05:53:57,anjs1551,"@choga_don I am happy this is happening with Harshita Qureshi.... I hope more guys will message her....
I want this to be set as an example for all HINOS",I am happy this is happening with Harshita Qureshi.... I hope more guys will message her.... I want this to be set as an example for all HINOS,Positive,0.958,0.0045,0.0375,0.958,False,none,Positive
2026-03-16 05:53:53,Pavann_Reddyy,Mr @rishibagree Modi's brilliant 3 farm laws were such a success that 750+ farmers died while he claimed no records of it.Truly a responsible PM ignoring a year of protests only to backtrack when elections loomed. Peak leadership or just peak indifference Disastrous move.#BJP https://t.co/3uhxsYxeSz,Mr Modi's brilliant 3 farm laws were such a success that 750+ farmers died while he claimed no records of it.Truly a responsible PM ignoring a year of protests only to backtrack when elections loomed. Peak leadership or just peak indifference Disastrous move.BJP,Negative,0.5505,0.5505,0.2956,0.1539,False,none,Negative
